Dataset,ARI,NMI,Silhouette,DBI
iris,0.6201351808870379,0.659486892724918,0.4599482392051863,0.8335949464754338
wine,0.8974949815093207,0.8758935341223069,0.2848589191898987,1.3891879777181646
digits,0.4754663376956182,0.6297234239329079,0.159626008640662,1.799855309792482
moons,0.2169655469870974,0.1658283407880748,0.4831877244441809,0.7851704430259421
blobs,1.0,1.0,0.8467003894636074,0.22002745320431014
