Dataset,ARI,NMI,Silhouette,DBI
iris,0.6464871114465449,0.6837634340224015,0.4593010216876192,0.8223619792445142
wine,0.9471317617859916,0.9276465009452134,0.285088062177969,1.387840323349006
digits,0.7004155419647694,0.8210102268291816,0.1465098230307858,1.8673073532668565
moons,1.0,1.0,0.3224432970121358,1.1760015363819267
blobs,1.0,1.0,0.8467003894636074,0.22002745320431014
