Model,ARI,NMI,Silhouette,DBI
DPC,0.77,0.77,0.28,1.39
K-means,0.9,0.88,0.28,1.39
DBSCAN,0.65,0.7,0.19,1.22
Spectral Clustering,0.95,0.93,0.29,1.39
GMM,0.21,0.24,0.09,2.87
