Moons,DensityPeaksClustering,KMeans,DBSCAN,SpectralClustering,GaussianMixture
ARI,0.7211301746013711,0.21696554698709747,1.0,1.0,0.47345430633620894
NMI,0.6843628400956303,0.16582834078807482,1.0,1.0,0.37786656324975487
Silhouette,0.3979950591814245,0.48318772444418095,0.32244329701213587,0.32244329701213587,0.4642399949137585
DBI,0.9527230409104442,0.7851704430259421,1.1760015363819267,1.1760015363819267,0.8261997647390529
