Dataset,ARI,NMI,Silhouette,DBI
iris,0.5164585360868599,0.657093812636084,0.4751434694267145,0.8867145279087015
wine,0.213363668238882,0.2379820808933576,0.0879599014142752,2.874596976397065
digits,0.504720805548733,0.6416196364392404,0.1350422469037273,2.809844800343702
moons,0.4734543063362089,0.3778665632497548,0.4642399949137585,0.8261997647390529
blobs,1.0,1.0,0.8467003894636074,0.22002745320431014
