Digits,DensityPeaksClustering,KMeans,DBSCAN,SpectralClustering,GaussianMixture
ARI,0.6215011258892111,0.4754663376956182,0.0,0.7004155419647694,0.504720805548733
NMI,0.7442405206541505,0.6297234239329079,0.0,0.8210102268291816,0.6416196364392404
Silhouette,0.0325139816500305,0.15962600864066206,0.27528182277982255,0.14650982303078589,0.13504224690372732
DBI,2.746558408586144,1.7998553097924819,1.230164777035985,1.8673073532668565,2.809844800343702
