Dataset,ARI,NMI,Silhouette,DBI
iris,0.8175510204081633,0.8027311504737437,0.3693908440605581,1.1362573000458216
wine,0.7712724399312236,0.7728636472013493,0.2751028829818739,1.3913972211378385
digits,0.6215011258892111,0.7442405206541505,0.0325139816500305,2.746558408586144
moons,0.7211301746013711,0.6843628400956303,0.3979950591814245,0.9527230409104442
blobs,1.0,1.0,0.8467003894636074,0.22002745320431014
